ID,Order,Trial,Group,Problem,set,sampkey,sampout,finalr,med,high,low,phigh
1,2,1,1,1,Comp,S,-21.4,0,-21.4,-8.7,-22.8,0.06
1,2,2,1,1,Comp,R,-22.8,0,-21.4,-8.7,-22.8,0.06
1,2,3,1,1,Comp,S,-21.4,0,-21.4,-8.7,-22.8,0.06
1,2,4,1,1,Comp,S,-21.4,0,-21.4,-8.7,-22.8,0.06
1,2,5,1,1,Comp,S,-21.4,0,-21.4,-8.7,-22.8,0.06
1,2,6,1,1,Comp,S,-21.4,0,-21.4,-8.7,-22.8,0.06
1,2,7,1,1,Comp,S,-21.4,0,-21.4,-8.7,-22.8,0.06
1,2,8,1,1,Comp,S,-21.4,0,-21.4,-8.7,-22.8,0.06
1,13,1,1,2,Comp,S,-8.7,0,-8.7,-2.2,-9.6,0.09
1,13,2,1,2,Comp,R,-9.6,0,-8.7,-2.2,-9.6,0.09
1,13,3,1,2,Comp,S,-8.7,0,-8.7,-2.2,-9.6,0.09
1,13,4,1,2,Comp,S,-8.7,0,-8.7,-2.2,-9.6,0.09
1,13,5,1,2,Comp,S,-8.7,0,-8.7,-2.2,-9.6,0.09
1,13,6,1,2,Comp,S,-8.7,0,-8.7,-2.2,-9.6,0.09
1,13,7,1,2,Comp,S,-8.7,0,-8.7,-2.2,-9.6,0.09
1,13,8,1,2,Comp,S,-8.7,0,-8.7,-2.2,-9.6,0.09
1,13,9,1,2,Comp,S,-8.7,0,-8.7,-2.2,-9.6,0.09
1,13,10,1,2,Comp,S,-8.7,0,-8.7,-2.2,-9.6,0.09
1,13,11,1,2,Comp,S,-8.7,0,-8.7,-2.2,-9.6,0.09
1,12,1,1,3,Comp,S,-9.5,0,-9.5,-2,-11.2,0.1
1,12,2,1,3,Comp,R,-11.2,0,-9.5,-2,-11.2,0.1
1,12,3,1,3,Comp,S,-9.5,0,-9.5,-2,-11.2,0.1
1,12,4,1,3,Comp,S,-9.5,0,-9.5,-2,-11.2,0.1
